Kategori,Sıra,Ürün Adı,Fiyat,Link
Bilgisayar,#18,"Logitech M330 Sessiz Kablosuz Mouse, Sağ Elle Kullanıma Uygun, 10 m Kullanım Mesafesi, 1.000 DPI Yüksek Hassasiyetli Optik İzleme, 18 Ay Pil Ömrü, Siyah","649,00 TL",https://www.amazon.com.tr/Logitech-M330-SILENT-PLUS-Siyah/dp/B01K7GEAFC/ref=zg_bs_g_computers_d_sccl_18/262-9629842-5424116?psc=1
Bilgisayar,#19,Baseus Crystal Shine 100W 200 cm Type-C Şarj Kablosu,"278,00 TL",https://www.amazon.com.tr/Baseus-Crystal-Shine-Type-C-Kablosu/dp/B0B46PHW14/ref=zg_bs_g_computers_d_sccl_19/262-9629842-5424116?psc=1
Bilgisayar,#20,"KIOXIA EXCERIA 32GB microSDHC Kart – UHS-I, R100MB/s okuma","197,44 TL",https://www.amazon.com.tr/Kioxia-EXCERIA-microSD-Haf%C4%B1za-Kart%C4%B1/dp/B088RQCCDJ/ref=zg_bs_g_computers_d_sccl_20/262-9629842-5424116?psc=1
Bilgisayar,#21,"Apple 2025 M4 çipli 13 inç MacBook Air Laptop: 13.6 inç Liquid Retina Ekran, 16GB Birleşik Bellek, 256 GB SSD Depolama, 12MP Center Stage Kamera, Touch ID; Gök Mavisi","48.900,00 TL",https://www.amazon.com.tr/Apple-2025-%C3%A7ipli-MacBook-Laptop/dp/B0DZD9242Q/ref=zg_bs_g_computers_d_sccl_21/262-9629842-5424116?psc=1
Bilgisayar,#22,"HyperX Cloud III Oyuncu Kulaklığı, Kırmızı","3.945,00 TL",https://www.amazon.com.tr/HyperX-Cloud-Oyuncu-Kulakl%C4%B1%C4%9F%C4%B1-K%C4%B1rm%C4%B1z%C4%B1/dp/B0C3BV19Q3/ref=zg_bs_g_computers_d_sccl_22/262-9629842-5424116?psc=1
Bilgisayar,#23,Spigen USB-A to USB-C 1 Metre Kablo 60W Güç/Hızlı Şarj / 480 Mbps Data Aktarım Hızı Type-C Ekstra Dayanıklı White - ACA08715,"169,90 TL",https://www.amazon.com.tr/Spigen-Aktar%C4%B1m-Type-C-Ekstra-Dayan%C4%B1kl%C4%B1/dp/B0F2M377PZ/ref=zg_bs_g_computers_d_sccl_23/262-9629842-5424116?psc=1
Bilgisayar,#24,"Kilifplus Samsung Galaxy Tab S10 FE ile Uyumlu Kılıf Tri Folding Silikon Kalem Bölmeli Katlanabilir Standlı PU Deri Yumuşak Kapak, Tablet Kılıfı [Akıllı Kapak, Uyku Modlu], Siyah","574,90 TL",https://www.amazon.com.tr/Kilifplus-Samsung-Folding-Silikon-Katlanabilir/dp/B0FP97J2FW/ref=zg_bs_g_computers_d_sccl_24/262-9629842-5424116?psc=1
Bilgisayar,#25,SanDisk Ultra Flair SDCZ73-064G-G46 64 GB Flash Bellek,Fiyat Yok,https://www.amazon.com.tr/SanDisk-SDCZ73-064G-G46-Flash-Bellek-64GB/dp/B015CH1NAQ/ref=zg_bs_g_computers_d_sccl_25/262-9629842-5424116?psc=1
Bilgisayar,#26,Spigen USB-C to USB-C 2 Metre Kablo 60W Güç/PPS 2.0 Desteği Super Hızlı Şarj / 480 Mbps Data Aktarım Hızı Type-C Ekstra Dayanıklı White - ACA08719,"279,89 TL",https://www.amazon.com.tr/Spigen-Deste%C4%9Fi-Aktar%C4%B1m-Type-C-Dayan%C4%B1kl%C4%B1/dp/B0F2ML9GYM/ref=zg_bs_g_computers_d_sccl_26/262-9629842-5424116?psc=1
Bilgisayar,#27,"Toshiba Canvio Partner 2 TB taşınabilir 2, 5 inç harici HDD, USB 3.2 Gen 1, Mac ve Windows ile uyumlu, USB ile çalışır","3.609,05 TL",https://www.amazon.com.tr/Toshiba-Canvio-Partner-2TB-Harici/dp/B0BGXZRKQN/ref=zg_bs_g_computers_d_sccl_27/262-9629842-5424116?psc=1
